City_ID,city,latitude,longitude,max temp,city humidity,cloudiness,wind speed,country,date
73,kaspiyskiy,45.3929,47.3707,34.03,71,55,20.15,RU,1710362321
74,santa maria da vitoria,-13.3947,-44.1886,82.67,69,84,1.36,BR,1710362321
75,bandiagara,14.3501,-3.6104,89.91,12,100,6.8,ML,1710362321
76,yellowknife,62.456,-114.3525,22.41,79,75,18.41,CA,1710362318
77,mount pearl,47.5166,-52.7813,36.32,93,100,4.61,CA,1710362322
78,nizza monferrato,44.7738,8.3539,56.39,82,53,3.62,IT,1710362322
79,newman,37.3138,-121.0208,62.83,54,96,18.01,US,1710362323
80,callao,-12.0667,-77.15,80.89,57,0,8.05,PE,1710362230
81,bac lieu,9.285,105.7244,78.58,80,37,10.29,VN,1710362323
82,camacupa,-12.0167,17.4833,62.37,98,87,4.18,AO,1710362323
83,la ronge,55.1001,-105.2842,25.02,54,20,6.91,CA,1710362324
84,soroca,48.1558,28.2975,33.4,99,100,6.96,MD,1710362324
85,hassi messaoud,31.6804,6.0729,66.06,24,0,4.61,DZ,1710362324
86,bredasdorp,-34.5322,20.0403,63.64,72,8,2.68,ZA,1710362324
87,karratha,-20.7377,116.8463,83.17,57,99,3.6,AU,1710362325
88,vila franca do campo,37.7167,-25.4333,64.89,99,55,11.56,PT,1710362325
89,port macquarie,-31.4333,152.9167,62.89,85,53,6.87,AU,1710362212
90,blackmans bay,-43.0167,147.3167,50.13,80,17,1.01,AU,1710362325
91,skelleftea,64.7507,20.9528,19.99,100,75,2.3,SE,1710362242
92,veraval,20.9,70.3667,72.25,84,0,13.82,IN,1710362326
93,nadym,65.5333,72.5167,-8.88,83,12,11.18,RU,1710362326
94,tofol,5.3248,163.0078,82.47,83,100,23.26,FM,1710362327
95,el reten,10.6114,-74.2682,99.21,44,43,13.42,CO,1710362327
96,udachny,66.4167,112.4,-33.41,100,85,3.78,RU,1710362327
97,znamenskoye,57.1281,73.8282,-2.33,99,99,4.03,RU,1710362327
98,floro,61.5996,5.0328,44.67,93,100,25.32,NO,1710362328
99,salalah,17.0151,54.0924,80.69,78,0,2.3,OM,1710362328
100,remire-montjoly,4.9167,-52.2667,86.04,74,75,14.97,GF,1710362328
101,podlehnik,46.3353,15.88,45.0,77,30,1.36,SI,1710362329
102,anadyr,64.75,177.4833,3.7,85,100,4.47,RU,1710362329
103,grytviken,-54.2811,-36.5092,41.22,79,100,4.74,GS,1710362329
104,shanghai,31.2222,121.4581,48.92,84,0,2.24,CN,1710362329
105,kwang binh,17.4833,106.6,71.28,98,41,1.32,VN,1710362329
106,preobrazheniye,42.9019,133.9064,29.75,67,55,6.8,RU,1710362330
107,pitimbu,-7.4706,-34.8086,79.39,75,92,8.66,BR,1710362330
108,arrah,25.5667,84.6667,71.49,32,0,4.83,IN,1710362330
109,mili,6.0815,171.735,82.24,82,100,24.58,MH,1710362330
110,necochea,-38.5473,-58.7368,79.27,49,0,7.99,AR,1710362210
111,miquelon,47.0975,-56.3814,37.4,98,100,22.62,PM,1710362331
112,conception bay south,47.4999,-52.9981,36.91,92,100,7.11,CA,1710362141
113,st. john's,47.5649,-52.7093,37.15,93,100,8.99,CA,1710362121
114,blama,7.8736,-11.3433,77.58,83,62,3.78,SL,1710362332
115,taguatinga,-12.3857,-46.5711,84.43,64,96,1.97,BR,1710362332
116,clarksville,36.5298,-87.3595,78.1,44,40,9.22,US,1710362296
117,howrah,22.5892,88.3103,78.8,89,40,6.91,IN,1710362332
118,zeya,53.75,127.2667,2.48,97,57,4.32,RU,1710362333
119,west island,-12.1568,96.8225,78.78,83,75,8.05,CC,1710362333
120,baganga,7.5739,126.56,75.94,87,72,7.27,PH,1710362333
121,tazacorte,28.629,-17.9293,68.97,89,75,2.3,ES,1710362333
122,iguape,-24.7081,-47.5553,77.85,83,7,14.36,BR,1710362333
123,mejit,10.2753,170.8646,79.2,82,92,26.51,MH,1710362334
124,albany,42.6001,-73.9662,66.58,46,88,1.01,US,1710362334
125,nar'yan-mar,67.6713,53.087,12.11,86,50,17.0,RU,1710362334
126,afaahiti,-17.75,-149.2833,85.87,81,83,11.68,PF,1710362334
127,flying fish cove,-10.4217,105.6791,76.68,94,75,8.05,CX,1710362335
128,loen,7.7601,168.2307,81.39,76,100,24.23,MH,1710362335
129,jayapura,-2.5333,140.7,76.39,91,100,4.32,ID,1710362335
130,lihue,21.9789,-159.3672,70.84,92,100,5.75,US,1710362335
131,the pas,53.8251,-101.2541,26.62,80,100,6.91,CA,1710362336
132,kamina,-8.7386,24.9906,67.03,93,73,0.81,CD,1710362336
133,lospalos,-8.5186,127.0025,74.53,94,100,14.97,TL,1710362336
134,gobabis,-22.45,18.9667,76.82,20,6,7.36,NA,1710362336
135,novodvinsk,64.4165,40.8122,24.55,96,100,4.94,RU,1710362337
136,sanctuary point,-35.1114,150.629,67.75,75,52,2.98,AU,1710362337
137,saint-philippe,-21.3585,55.7679,80.19,84,69,11.92,RE,1710362337
138,labrador city,52.9463,-66.9114,33.71,60,75,8.05,CA,1710362337
139,atherton,53.5237,-2.4935,53.74,92,100,4.0,GB,1710362338
140,okhotsk,59.3833,143.3,-9.47,93,21,8.7,RU,1710362338
141,pariaman,-0.619,100.12,73.45,83,63,4.56,ID,1710362338
142,hadibu,12.65,54.0333,77.83,76,0,7.56,YE,1710362338
143,lobujya,27.95,86.8167,0.68,22,0,3.11,NP,1710362339
144,archangelos,36.2149,28.1149,56.3,79,4,6.13,GR,1710362339
145,saint-joseph,-21.3667,55.6167,79.18,82,54,11.72,RE,1710362339
146,haiku-pauwela,20.9219,-156.3051,78.82,65,20,6.91,US,1710362339
147,okha,53.5739,142.9478,-7.6,100,81,5.12,RU,1710362340
148,georgetown,5.4112,100.3354,82.94,86,20,3.44,MY,1710362065
149,tucurui,-3.7661,-49.6725,79.97,89,100,3.11,BR,1710362340
150,minas de marcona,-15.2119,-75.1103,70.36,67,20,17.54,PE,1710362340
151,bel ombre,-4.6167,55.4167,80.44,78,20,2.3,SC,1710362341
152,margaret river,-33.95,115.0667,61.54,88,13,10.69,AU,1710362341
153,dryden,49.7833,-92.7503,37.69,75,100,5.75,CA,1710362341
154,diffa,13.3154,12.6113,88.81,11,68,5.79,NE,1710362342
155,ayaviri,-14.8864,-70.5889,57.74,62,97,12.88,PE,1710362342
156,grand falls-windsor,48.9332,-55.6649,34.5,93,100,10.0,CA,1710362343
157,aldinga beach,-35.2793,138.4604,72.75,82,100,13.24,AU,1710362343
158,vorgashor,67.5833,63.95,4.23,87,100,16.35,RU,1710362343
159,atafu village,-8.5421,-172.5159,85.19,70,36,17.05,TK,1710362343
160,opuwo,-18.0607,13.84,76.44,46,39,7.11,NA,1710362344
161,kapuskasing,49.4169,-82.4331,53.6,43,75,2.3,CA,1710362344
162,laascaanood,8.4774,47.3597,73.78,64,4,11.03,SO,1710362344
163,conceicao da barra,-18.5933,-39.7322,77.07,84,16,4.9,BR,1710362344
164,lompoc,34.6391,-120.4579,70.7,61,0,17.27,US,1710362345
165,cox's bazar,21.4532,91.9798,69.6,87,1,3.51,BD,1710362345
166,ndele,8.4109,20.6473,81.72,48,100,5.32,CF,1710362345
167,daru,-9.0763,143.2092,79.12,88,100,10.18,PG,1710362345
168,ust'-kut,56.7938,105.7672,17.44,93,100,11.01,RU,1710362346
169,ciudad lazaro cardenas,17.9583,-102.2,83.89,58,66,12.59,MX,1710362346
170,kodiak,57.79,-152.4072,26.11,80,100,8.05,US,1710362346
171,marsa alam,25.0757,34.8918,73.72,48,89,3.69,EG,1710362346
172,palikir - national government center,6.9248,158.1611,81.0,79,100,22.68,FM,1710362347
173,binjai,3.6001,98.4854,74.82,88,96,1.61,ID,1710362347
174,jiwani,25.05,61.7417,72.43,69,0,9.78,PK,1710362347
175,greenville,35.6127,-77.3663,78.15,22,100,6.91,US,1710362285
176,ascension,30.2169,-90.9001,81.09,68,100,10.36,US,1710362348
177,tura,25.5198,90.2201,67.95,35,3,4.47,IN,1710362348
